題號,題目,標準答案,解析
1,淡江教科系的學習重點僅限於培養中小學電腦老師，並不涉及企業訓練領域。,錯誤,淡江教科多元發展，涵蓋企業人力資源發展（HRD）與數位學習。
2,「ADDIE 模型」是教科系學生必學的教學系統設計框架，其中第一個 A 代表的是分析（Analysis）。,正確,ADDIE 代表分析、設計、發展、實施與評鑑。
3,在淡江教科系的課程中，學生只需要學習理論，不需要實際操作多媒體編輯軟體（如 Adobe 系列）。,錯誤,教科系強調做中學，需掌握影片剪輯、平面設計等工具。
4,所謂的「教學設計（Instructional Design）」就是指把投影片做得漂亮美觀。,錯誤,教學設計是優化學習成效的科學，包含架構、心理學與評量。
5,淡江大學教育科技學系隸屬於「工學院」。,錯誤,教科系隸屬於「教育學院」。
6,數位學習（e-Learning）的發展，是教科系學生未來可以發揮所長的重點產業之一。,正確,隨遠距教學普及，數位課程開發人才需求大增。
7,在教科系的專案開發中，了解「學習動機」是不重要的，只要技術夠強即可。,錯誤,教育心理學是基石，不了解動機則技術無法發揮教學效果。
8,淡江教科系畢業後可以考取教育學程，進而取得教師證書。,正確,學生可修讀教育學程並通過實習與檢定取得教師資格。
9,「使用者介面（UI）」與「使用者體驗（UX）」的設計概念，對於製作高品質的教材並不重要。,錯誤,良好的 UI/UX 能減少認知負擔，讓學習者更專注於內容。
10,教科系強調「產學合作」，大四通常會有畢業專案或實習的機會來與產業接軌。,正確,實務專案（Capstone Project）是教科系的優良傳統。
